Spin_Speed_rpm,Spin_Time_s,Viscosity_cP,Surface_Tension_mN_m,Concentration_wt_pct,Volume_Deposited_uL,Annealing_Temp_C,Annealing_Time_min,Film_Thickness_nm
3982.8,102.9,12.98,33.9,7.38,22.3,543.1,67.0,12.33
2475.0,79.4,13.12,24.11,2.66,81.9,260.7,48.9,15.14
4363.7,44.5,21.52,32.08,8.97,98.9,370.0,18.3,32.67
3638.2,94.6,7.48,52.27,3.19,42.4,163.4,119.0,15.62
923.8,28.4,10.34,39.74,1.85,87.9,154.0,29.2,18.19
4890.3,97.4,23.29,26.86,7.98,78.6,467.5,38.1,20.22
3925.1,79.0,26.22,32.51,10.18,92.0,203.2,36.0,76.02
4037.3,31.1,34.11,58.14,12.96,48.2,396.5,109.9,57.33
1076.5,28.0,26.04,37.28,11.96,19.1,463.2,94.0,69.07
2526.7,95.1,31.66,37.66,13.0,20.7,164.5,60.3,162.46
2168.6,49.3,32.66,26.12,11.64,78.7,351.9,115.1,85.45
4670.4,108.9,24.91,32.18,10.85,87.7,457.9,15.8,34.65
3397.4,96.2,1.63,52.59,1.14,51.1,550.4,108.3,3.0
4202.4,89.8,24.7,51.45,9.77,15.4,284.7,16.6,48.45
2495.4,47.9,8.49,37.42,2.69,16.0,588.4,53.0,3.98
1522.6,90.9,8.13,55.75,1.82,63.9,530.0,15.9,4.93
2995.6,114.8,5.2,35.21,3.19,92.7,442.8,119.9,5.05
787.2,29.2,23.16,54.57,12.53,46.0,326.4,110.6,120.57
4224.3,52.6,31.02,21.26,11.41,68.6,470.0,74.3,32.03
3342.5,43.5,31.6,33.89,14.28,58.8,517.3,34.0,48.39
3911.4,59.3,33.99,54.2,14.71,90.1,286.5,40.4,81.19
2095.4,94.2,26.51,56.05,13.51,84.9,596.8,59.4,37.94
4868.1,67.4,11.65,50.26,2.86,27.9,558.9,45.5,4.29
4519.0,77.1,33.63,46.79,13.3,71.0,368.5,12.3,58.27
4002.7,51.4,32.23,52.62,12.74,86.3,475.3,82.2,39.04
1375.9,34.1,33.26,48.3,13.2,93.7,385.8,77.5,99.71
2600.2,46.7,3.0,30.17,3.12,63.1,492.4,109.5,3.43
697.1,106.0,5.11,38.65,2.64,25.8,522.1,62.5,7.21
