Spin_Speed_rpm,Spin_Time_s,Viscosity_cP,Surface_Tension_mN_m,Concentration_wt_pct,Volume_Deposited_uL,Annealing_Temp_C,Annealing_Time_min,Number_of_Layers,Film_Thickness_nm
3982.8,102.9,20.72,33.9,7.38,22.3,543.1,67.0,4,32.24
2475.0,79.4,5.89,24.11,2.66,81.9,260.7,48.9,4,17.23
4363.7,44.5,25.31,32.08,8.97,98.9,370.0,18.3,10,171.16
3638.2,94.6,4.45,52.27,3.19,42.4,163.4,119.0,8,45.4
923.8,28.4,5.97,39.74,1.85,87.9,154.0,29.2,9,65.69
4890.3,97.4,20.25,26.86,7.98,78.6,467.5,38.1,8,78.95
3925.1,79.0,26.84,32.51,10.18,92.0,203.2,36.0,5,182.55
4037.3,31.1,28.71,58.14,12.96,48.2,396.5,109.9,8,199.87
1076.5,28.0,23.61,37.28,11.96,19.1,463.2,94.0,7,243.23
2526.7,95.1,32.42,37.66,13.0,20.7,164.5,60.3,8,639.21
2168.6,49.3,30.35,26.12,11.64,78.7,351.9,115.1,4,139.49
4670.4,108.9,29.97,32.18,10.85,87.7,457.9,15.8,3,54.9
3397.4,96.2,3.55,52.59,1.14,51.1,550.4,108.3,2,3.0
4202.4,89.8,26.79,51.45,9.77,15.4,284.7,16.6,3,76.91
2495.4,47.9,9.64,37.42,2.69,16.0,588.4,53.0,10,21.31
1522.6,90.9,10.16,55.75,1.82,63.9,530.0,15.9,10,27.25
2995.6,114.8,9.17,35.21,3.19,92.7,442.8,119.9,2,6.36
787.2,29.2,25.62,54.57,12.53,46.0,326.4,110.6,6,396.88
4224.3,52.6,28.05,21.26,11.41,68.6,470.0,74.3,10,156.3
3342.5,43.5,35.12,33.89,14.28,58.8,517.3,34.0,8,203.71
3911.4,59.3,37.38,54.2,14.71,90.1,286.5,40.4,7,312.11
2095.4,94.2,28.47,56.05,13.51,84.9,596.8,59.4,6,118.64
4868.1,67.4,7.64,50.26,2.86,27.9,558.9,45.5,4,6.7
4519.0,77.1,35.19,46.79,13.3,71.0,368.5,12.3,10,304.7
4002.7,51.4,30.99,52.62,12.74,86.3,475.3,82.2,1,19.24
1375.9,34.1,31.43,48.3,13.2,93.7,385.8,77.5,9,425.19
2600.2,46.7,14.9,30.17,3.12,63.1,492.4,109.5,9,37.28
697.1,106.0,4.85,38.65,2.64,25.8,522.1,62.5,3,10.03
1194.3,80.2,37.75,46.43,13.93,60.2,160.5,47.9,6,741.61
3573.7,57.8,12.96,43.51,3.43,69.9,185.6,66.3,9,84.76
3851.4,99.0,15.49,55.4,6.16,34.5,301.4,31.4,5,63.92
4853.8,26.4,18.88,38.95,7.38,97.6,562.9,78.8,4,24.65
1966.2,45.4,8.2,27.12,2.74,30.6,329.2,94.7,1,4.94
2167.1,43.0,5.51,28.58,1.29,92.0,549.4,26.9,5,5.27
2613.0,118.5,34.53,53.84,14.92,48.3,358.1,45.0,3,133.81
1352.6,90.6,31.24,20.35,13.27,10.0,280.0,105.5,9,667.78
1084.6,81.8,32.61,54.77,13.77,58.9,555.3,65.6,9,298.92
2640.7,20.5,12.49,22.22,4.98,66.5,402.3,68.5,4,28.99
1521.1,38.4,10.46,35.67,4.08,88.2,312.2,89.5,3,31.96
