Spin_Speed_rpm,Spin_Time_s,Viscosity_cP,Surface_Tension_mN_m,Concentration_wt_pct,Volume_Deposited_uL,Annealing_Temp_C,Annealing_Time_min,Film_Thickness_nm
2185.0,87.3,32.76,56.54,10.16,55.0,423.0,95.0,305.31
4778.0,99.7,9.45,41.01,2.12,77.2,301.0,62.9,24.86
3794.0,45.0,43.75,49.0,4.39,60.6,336.0,96.8,116.98
3194.0,82.5,31.04,37.44,11.83,17.5,458.0,18.1,290.52
1202.0,77.2,8.7,45.2,8.4,26.7,538.0,31.1,170.6
1202.0,103.3,48.15,33.62,13.99,29.7,236.0,70.7,741.55
761.0,110.6,26.4,32.05,7.0,33.2,271.0,114.2,314.44
4398.0,21.2,4.57,43.13,13.18,60.9,565.0,18.2,103.42
3205.0,87.4,31.71,39.93,7.29,55.4,389.0,14.7,187.66
3686.0,25.2,13.41,43.18,14.71,28.3,189.0,27.2,224.47
593.0,74.9,40.38,31.47,14.44,16.1,432.0,80.5,915.52
4865.0,48.8,41.07,34.68,5.61,25.4,595.0,53.9,122.87
4246.0,50.7,48.97,23.36,13.4,98.6,512.0,100.8,339.16
1456.0,55.3,25.59,22.09,12.87,52.2,473.0,17.9,418.37
1318.0,82.1,23.29,30.14,3.95,88.1,204.0,31.6,133.78
1325.0,53.4,37.92,22.97,9.74,86.4,538.0,43.0,387.43
1869.0,93.3,7.49,24.15,2.02,56.0,363.0,78.9,30.29
2861.0,60.5,27.8,52.52,12.71,73.6,545.0,85.4,300.56
2444.0,26.8,27.77,21.55,3.44,27.3,265.0,23.7,87.0
1811.0,98.4,5.38,46.36,1.99,72.0,131.0,113.8,26.08
3253.0,48.6,21.48,30.9,6.6,34.5,338.0,47.5,133.47
1128.0,63.3,42.81,54.86,9.08,84.9,235.0,88.4,459.78
1815.0,88.5,42.95,39.4,12.97,17.5,458.0,67.7,500.46
2149.0,53.2,5.86,32.22,14.64,79.6,579.0,34.5,171.37
2552.0,25.7,5.45,40.71,7.15,19.0,445.0,103.1,79.77
4033.0,57.4,13.87,35.28,1.85,89.3,543.0,100.0,25.08
1399.0,114.4,43.86,42.57,11.49,37.4,327.0,53.6,509.46
2814.0,84.2,7.32,24.58,8.91,68.9,486.0,74.7,107.64
3166.0,87.1,36.28,59.88,7.27,53.9,522.0,38.4,197.33
709.0,83.2,5.96,37.02,5.33,43.0,455.0,85.9,118.64
3234.0,39.9,31.53,33.93,8.03,68.1,354.0,44.0,184.84
1267.0,61.8,18.45,48.41,5.74,95.3,413.0,102.8,165.38
793.0,95.1,39.66,34.56,11.6,13.7,450.0,33.9,636.28
4770.0,30.1,12.45,53.33,8.61,92.7,227.0,11.6,113.31
4845.0,47.8,32.32,38.17,13.28,64.8,505.0,39.5,253.81
4138.0,47.6,12.55,48.78,8.61,82.7,575.0,31.0,111.03
1871.0,63.2,35.97,24.3,4.34,44.5,333.0,65.9,147.05
940.0,118.0,43.81,53.84,12.92,52.5,451.0,32.4,667.56
3579.0,26.8,7.21,49.43,8.8,88.2,469.0,94.0,92.01
2481.0,71.9,43.46,28.47,3.9,47.3,431.0,36.6,124.22
1049.0,37.9,30.09,25.81,9.73,58.1,374.0,87.8,393.46
2728.0,117.1,7.23,32.65,6.01,11.8,541.0,73.6,72.38
655.0,31.3,21.95,59.04,12.82,24.3,324.0,118.5,574.27
4592.0,60.4,8.88,30.27,7.35,67.8,131.0,120.0,80.17
1665.0,93.8,35.32,38.25,11.17,74.5,522.0,105.6,382.89
3481.0,90.5,38.18,21.2,2.34,62.4,437.0,93.6,58.72
1903.0,62.3,6.18,35.89,6.54,22.9,525.0,52.5,89.5
2840.0,54.7,25.8,42.85,14.77,50.1,169.0,92.9,355.65
2960.0,59.8,40.92,58.12,12.32,42.0,115.0,115.2,379.6
1332.0,46.4,46.87,40.67,3.24,54.6,567.0,12.6,152.47
4863.0,40.5,26.16,52.76,4.89,88.3,174.0,69.2,94.96
3988.0,68.3,47.56,41.89,5.62,79.8,505.0,34.0,154.43
4728.0,46.9,27.25,21.63,10.11,17.6,512.0,71.4,184.43
4527.0,48.7,20.32,32.6,11.6,90.1,454.0,61.3,186.54
3191.0,85.7,42.56,43.02,11.49,52.5,166.0,73.3,331.43
4648.0,116.9,25.16,58.02,8.14,76.9,434.0,70.6,145.32
898.0,80.4,24.12,54.37,12.35,22.6,545.0,115.6,492.23
1382.0,27.7,25.03,29.13,7.12,70.4,313.0,70.7,240.21
704.0,27.6,42.49,28.8,2.73,31.3,307.0,103.1,160.4
1964.0,115.1,41.77,28.05,8.9,49.5,321.0,45.2,319.55
2249.0,49.7,20.77,56.9,14.33,11.5,141.0,58.2,347.36
1721.0,29.2,17.33,54.11,12.1,23.6,546.0,61.7,300.49
4229.0,79.9,25.1,51.0,9.1,18.3,535.0,40.7,170.05
2105.0,82.4,29.07,35.71,10.06,31.6,599.0,51.8,278.11
1764.0,84.9,12.68,40.18,14.03,19.0,393.0,75.8,286.45
2942.0,46.7,39.9,38.57,7.0,72.3,476.0,73.8,201.38
